#NAME	2WT-2m_S1	3WT-2m_S1	5WT-2m_S2	8WT-2m_S3	9WT-2m_S4	10WT-2m_S5	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10	2WT-6m_S11	3WT-6m_S1	5WT-6m_S12	8WT-6m_S2	9WT-6m_S3	10WT-6m_S4	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10	2WT-12m_S1	5WT-12m_S2	6WT-12m_S4	8WT-12m_S3	9WT-12m_S5	10WT-12m_S6	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30445;s__GGB30445_SGB43494	0	3960	408	9086	0	1846	2888	0	0	0	3398	2234	3768	21186	526	10994	0	0	0	4900	0	0	8368	398	1654	536	2668	4912	18306	10826	0	0	3932	0	7842	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30444;s__GGB30444_SGB43493	0	54240	5224	5706	1084	1714	43684	0	0	0	904	11962	5510	0	64870	2192	1284	0	54338	3778	5138	0	0	2422	186	8192	0	0	22628	282	0	0	0	3000	1060	1020
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30311;s__GGB30311_SGB43288	0	588	0	3574	2118	1076	0	1360	410	994	746	4334	11962	0	1074	780	136	0	5142	1142	5528	0	660	6718	382	0	206	3530	0	0	4532	0	15402	11034	35034	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30297;s__GGB30297_SGB43261	0	6240	49090	0	5094	4030	1774	4288	316	4472	8806	1416	6772	5532	0	658	6512	360	926	1510	1660	1852	6216	4958	0	0	2770	618	1992	110	7588	0	8448	0	11978	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30296;s__GGB30296_SGB43260	0	44926	20776	2984	13360	8050	25718	1134	0	5072	13102	9994	35520	25144	518	8006	19854	340	1478	2256	204	2736	3268	22104	6828	2394	35362	10562	10698	0	3620	0	0	40710	19004	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30295;s__GGB30295_SGB43259	13650	5212	27962	209722	184160	28682	43688	2782	48	51142	13564	135540	56332	4628	45494	161214	4734	25986	0	194	974	23512	2106	10476	39638	60230	110484	24140	134510	27548	0	0	13016	26416	28982	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30290;s__GGB30290_SGB43252	0	2176	0	0	0	0	3172	127822	50744	114694	88308	32710	4772	41800	2898	0	0	0	20126	63802	77912	2414	163896	8022	0	14482	223324	109386	30826	80930	72218	0	128608	182712	234418	172174
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30091;s__GGB30091_SGB43003	22582	72460	49896	103738	98756	66962	208238	183212	36088	46210	36378	322436	282740	3788	0	291544	163868	13388	116966	61016	0	43600	4004	101220	32484	0	21452	138974	123572	58600	5710	111744	20178	208938	67228	82022
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB29549;s__GGB29549_SGB42343	0	0	283154	55060	0	0	0	51410	43970	1832	0	0	0	0	278622	238394	0	0	0	1262	0	6798	0	0	582	343526	0	264714	0	0	0	0	35334	855712	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus_colihominis	0	0	3688	0	0	0	0	0	0	0	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12570	0	3444	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acutalibacter;s__Acutalibacter_sp_1XD8_36	0	26538	168644	0	0	2434	50574	10744	1114	12562	76666	10548	108272	41910	0	9664	22374	7430	75194	28726	6764	9834	15116	27222	11250	7606	51552	25406	60738	2468	54134	0	22194	119076	85914	224
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acutalibacter;s__Acutalibacter_muris	60846	4740	28300	292360	2154	24510	61330	16556	4118	12038	16600	93316	102748	2500	754742	262408	130530	85840	33904	42420	4994	7900	29444	18286	17484	36540	25922	98194	126238	69888	32488	0	97694	11882	83454	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_ilealis	0	0	0	16874	0	0	0	0	0	23648	0	0	22248	12958	4738	774	0	0	42524	974	2264	101434	0	0	318008	24706	3548	279854	0	0	219566	435698	67996	153232	0	1532
